idx,dis,dis_value,par,q_home,q_away
1,1798,,,,
2,,,,0,0
3,,,,0,0
4,1321,,1,,
5,24,,1,,
6,2119,,4,,
7,240,,4,,
8,2991,,6,,
9,1395,,6,,
10,320,,7,,
11,0,,7,,
12,400,,10,,
13,1474,,10,,
14,1717,,12,,
15,1555,,12,,
16,1317,,8,,
17,0,,8,,
18,2354,,16,,
19,25,,16,,
20,,,17,0.333333333333,0.666666666667
21,24,,17,,
22,20,,21,,
23,,,21,1.0,0.0
24,2120,,9,,
25,,,9,0.6,0.4
26,518,,14,,
27,579,,14,,
28,560,,5,,
29,521,,5,,
30,1040,,28,,
31,,,28,1.0,0.0
32,1120,,30,,
33,1950,,30,,
34,1200,,32,,
35,1136,,32,,
36,1292,,34,,
37,,,34,1.0,0.0
38,1302,,36,,
39,,,36,1.0,0.0
40,1303,,38,,
41,,,38,1.0,0.0
42,1304,,40,,
43,,,40,1.0,0.0
44,2594,,18,,
45,15,,18,,
46,1397,,44,,
47,,,44,0.777777777778,0.222222222222
48,1305,,42,,
49,,,42,1.0,0.0
50,,,22,1.0,0.0
51,98,,22,,
52,,,24,0.666666666667,0.333333333333
53,1956,,24,,
54,3158,,53,,
55,1391,,53,,
56,,,55,1.0,0.0
57,,,55,0.5,0.5
58,1306,,26,,
59,,,26,0.666666666667,0.333333333333
60,1563,,58,,
61,,,58,0.5,0.5
62,,,60,0.5,0.5
63,1360,,60,,
64,1392,,11,,
65,,,11,0.2,0.8
66,1306,,48,,
67,,,48,1.0,0.0
68,1307,,66,,
69,,,66,1.0,0.0
70,1308,,68,,
71,,,68,1.0,0.0
72,1309,,70,,
73,,,70,1.0,0.0
74,1298,,72,,
75,,,72,1.0,0.0
76,1561,,46,,
77,,,46,0.857142857143,0.142857142857
78,1316,,76,,
79,1402,,76,,
80,2753,,78,,
81,2599,,78,,
82,36,,19,,
83,,,19,1.0,0.0
84,,,15,1.0,0.0
85,,,15,0.8,0.2
86,,,13,1.0,0.0
87,,,13,0.333333333333,0.666666666667
88,,,64,1.0,0.0
89,,,64,0.8,0.2
90,1310,,74,,
91,,,74,1.0,0.0
92,1398,,90,,
93,,,90,1.0,0.0
94,,,92,1.0,0.0
95,400,,92,,
96,,,95,0.4,0.6
97,,,95,0.5,0.5
98,,,29,0.5,0.5
99,3200,,29,,
100,,,45,1.0,0.0
101,,,45,0.555555555556,0.444444444444
102,,,54,1.0,0.0
103,,,54,0.857142857143,0.142857142857
104,,,63,0.666666666667,0.333333333333
105,1795,,63,,
106,655,,27,,
107,,,27,1.0,0.0
108,,,106,0.0,1.0
109,1304,,106,,
110,755,,33,,
111,,,33,0.75,0.25
112,751,,110,,
113,,,110,0.5,0.5
114,,,81,1.0,0.0
115,,,81,0.5,0.5
116,39,,82,,
117,,,82,0.0,1.0
118,,,51,0.0,1.0
119,80,,51,,
120,,,119,1.0,0.0
121,160,,119,,
122,,,121,0.0,1.0
123,258,,121,,
124,,,123,0.0,1.0
125,240,,123,,
126,,,125,1.0,0.0
127,502,,125,,
128,,,127,0.666666666667,0.333333333333
129,,,127,1.0,0.0
130,,,105,1.0,0.0
131,,,105,0.8,0.2
132,,,109,0.5,0.5
133,,,109,1.0,0.0
134,,,35,1.0,0.0
135,,,35,0.75,0.25
136,,,112,1.0,0.0
137,,,112,0.666666666667,0.333333333333
138,1881,,80,,
139,,,80,0.5,0.5
140,,,138,1.0,0.0
141,,,138,0.857142857143,0.142857142857
142,,,79,1.0,0.0
143,,,79,0.75,0.25
144,,,116,0.666666666667,0.333333333333
145,,,116,1.0,0.0
146,,,99,0.5,0.5
147,,,99,1.0,0.0
