idx,dis,dis_value,par,q_home,q_away
1,1798,,,,
2,,,,0.0,0.0
3,,,,0.0,0.0
4,1321,,1,,
5,24,,1,,
6,2119,,4,,
7,240,,4,,
8,2991,,6,,
9,1395,,6,,
10,320,,7,,
11,0,,7,,
12,400,,10,,
13,1474,,10,,
14,1717,,12,,
15,1555,,12,,
16,1317,,8,,
17,0,,8,,
18,2354,,16,,
19,25,,16,,
20,1308,,17,,
21,24,,17,,
22,20,,21,,
23,,,21,0.875,0.125
24,2120,,9,,
25,12,,9,,
26,518,,14,,
27,579,,14,,
28,560,,5,,
29,521,,5,,
30,1040,,28,,
31,160,,28,,
32,1120,,30,,
33,1950,,30,,
34,1200,,32,,
35,1136,,32,,
36,1292,,34,,
37,1547,,34,,
38,1302,,36,,
39,,,36,1.0,0.0
40,1303,,38,,
41,,,38,1.0,0.0
42,1304,,40,,
43,,,40,1.0,0.0
44,2594,,18,,
45,15,,18,,
46,1397,,44,,
47,160,,44,,
48,1305,,42,,
49,,,42,1.0,0.0
50,1468,,22,,
51,98,,22,,
52,16,,24,,
53,1956,,24,,
54,3158,,53,,
55,1391,,53,,
56,1950,,55,,
57,,,55,0.857142857143,0.142857142857
58,1306,,26,,
59,1305,,26,,
60,1563,,58,,
61,492,,58,,
62,,,60,0.6,0.4
63,1360,,60,,
64,1392,,11,,
65,19,,11,,
66,1306,,48,,
67,,,48,1.0,0.0
68,1307,,66,,
69,,,66,1.0,0.0
70,1308,,68,,
71,2673,,68,,
72,1309,,70,,
73,,,70,1.0,0.0
74,1298,,72,,
75,2497,,72,,
76,1561,,46,,
77,0,,46,,
78,1316,,76,,
79,1402,,76,,
80,2753,,78,,
81,2599,,78,,
82,36,,19,,
83,,,19,0.75,0.25
84,,,15,1.0,0.0
85,1795,,15,,
86,,,13,1.0,0.0
87,,,13,1.0,0.0
88,4755,,64,,
89,,,64,1.0,0.0
90,1310,,74,,
91,,,74,1.0,0.0
92,1398,,90,,
93,1636,,90,,
94,1856,,92,,
95,400,,92,,
96,,,95,0.707317073171,0.292682926829
97,,,95,0.777777777778,0.222222222222
98,80,,29,,
99,3200,,29,,
100,23,,45,,
101,13,,45,,
102,2031,,54,,
103,1473,,54,,
104,,,63,1.0,0.0
105,1795,,63,,
106,655,,27,,
107,1312,,27,,
108,,,106,0.875,0.125
109,1304,,106,,
110,755,,33,,
111,4340,,33,,
112,751,,110,,
113,1303,,110,,
114,1961,,81,,
115,,,81,0.333333333333,0.666666666667
116,39,,82,,
117,,,82,1.0,0.0
118,,,51,1.0,0.0
119,80,,51,,
120,,,119,0.666666666667,0.333333333333
121,160,,119,,
122,,,121,1.0,0.0
123,258,,121,,
124,,,123,0.333333333333,0.666666666667
125,240,,123,,
126,,,125,0.666666666667,0.333333333333
127,502,,125,,
128,1313,,127,,
129,1390,,127,,
130,1623,,105,,
131,580,,105,,
132,656,,109,,
133,640,,109,,
134,1300,,35,,
135,1137,,35,,
136,1062,,112,,
137,,,112,1.0,0.0
138,1881,,80,,
139,22,,80,,
140,2196,,138,,
141,,,138,1.0,0.0
142,,,79,1.0,0.0
143,0,,79,,
144,194,,116,,
145,,,116,0.857142857143,0.142857142857
146,,,99,1.0,0.0
147,2720,,99,,
148,,,47,0.857142857143,0.142857142857
149,240,,47,,
150,,,149,0.857142857143,0.142857142857
151,1951,,149,,
152,,,101,0.0,1.0
153,0,,101,,
154,,,153,0.857142857143,0.142857142857
155,93,,153,,
156,2175,,155,,
157,1472,,155,,
158,515,,130,,
159,4679,,130,,
160,1301,,132,,
161,1303,,132,,
162,1220,,37,,
163,1216,,37,,
164,1308,,135,,
165,1055,,135,,
166,3957,,77,,
167,16,,77,,
168,560,,144,,
169,,,144,1.0,0.0
170,4601,,168,,
171,,,168,1.0,0.0
172,1309,,162,,
173,,,162,0.666666666667,0.333333333333
174,1139,,165,,
175,,,165,1.0,0.0
176,1385,,174,,
177,1142,,174,,
178,1310,,136,,
179,,,136,0.555555555556,0.444444444444
180,,,147,0.777777777778,0.222222222222
181,,,147,0.5,0.5
182,2356,,140,,
183,0,,140,,
184,2436,,182,,
185,1474,,182,,
186,2357,,184,,
187,17,,184,,
188,105,,186,,
189,20,,186,,
190,2754,,188,,
191,4039,,188,,
192,2596,,191,,
193,2902,,191,,
194,42,,189,,
195,,,189,0.875,0.125
196,,,185,1.0,0.0
197,,,185,0.5,0.5
198,194,,50,,
199,1387,,50,,
200,,,103,1.0,0.0
201,12,,103,,
202,577,,159,,
203,,,159,1.0,0.0
204,1306,,59,,
205,,,59,1.0,0.0
206,,,163,0.375,0.625
207,,,163,1.0,0.0
208,660,,178,,
209,738,,178,,
210,4271,,208,,
211,1307,,208,,
212,1940,,210,,
213,656,,210,,
214,1777,,111,,
215,656,,111,,
216,,,98,0.0,1.0
217,160,,98,,
218,,,217,1.0,0.0
219,240,,217,,
220,,,219,1.0,0.0
221,1316,,219,,
222,1317,,221,,
223,,,221,0.888888888889,0.111111111111
224,0,,222,,
225,,,222,1.0,0.0
226,17,,198,,
227,1543,,198,,
228,,,227,0.666666666667,0.333333333333
229,,,227,1.0,0.0
230,1954,,102,,
231,1304,,102,,
232,1380,,158,,
233,,,158,0.555555555556,0.444444444444
234,493,,61,,
235,,,61,0.0,1.0
236,4351,,212,,
237,1312,,212,,
238,,,193,1.0,0.0
239,,,193,0.666666666667,0.333333333333
240,,,194,0.666666666667,0.333333333333
241,,,194,1.0,0.0
242,15,,166,,
243,,,166,0.75,0.25
244,1305,,100,,
245,,,100,1.0,0.0
246,1307,,204,,
247,,,204,1.0,0.0
248,,,107,1.0,0.0
249,,,107,0.5,0.5
250,1311,,172,,
251,,,172,0.5,0.5
252,,,31,0.428571428571,0.571428571429
253,640,,31,,
254,2596,,190,,
255,17,,190,,
256,,,139,1.0,0.0
257,,,139,0.75,0.25
258,1312,,151,,
259,,,151,0.75,0.25
260,1306,,244,,
261,,,244,1.0,0.0
262,,,157,1.0,0.0
263,17,,157,,
264,,,202,1.0,0.0
265,,,202,0.8,0.2
266,581,,131,,
267,,,131,0.333333333333,0.666666666667
268,640,,266,,
269,,,266,1.0,0.0
270,660,,268,,
271,,,268,0.0,1.0
272,1280,,242,,
273,,,242,0.666666666667,0.333333333333
274,661,,270,,
275,,,270,0.0,1.0
276,1390,,236,,
277,,,236,0.8,0.2
278,736,,213,,
279,,,213,1.0,0.0
280,,,272,1.0,0.0
281,,,272,0.666666666667,0.333333333333
282,2101,,170,,
283,,,170,0.75,0.25
284,,,253,1.0,0.0
285,720,,253,,
286,,,156,0.666666666667,0.333333333333
287,1311,,156,,
288,1305,,161,,
289,,,161,1.0,0.0
290,1310,,288,,
291,,,288,1.0,0.0
292,575,,290,,
293,,,290,0.0,1.0
294,,,250,1.0,0.0
295,,,250,0.888888888889,0.111111111111
296,1300,,113,,
297,,,113,1.0,0.0
298,,,214,0.5,0.5
299,1548,,214,,
300,,,285,1.0,0.0
301,800,,285,,
302,,,224,0.0,1.0
303,400,,224,,
304,1466,,20,,
305,,,20,0.8,0.2
306,,,56,1.0,0.0
307,1310,,56,,
308,,,232,0.5,0.5
309,,,232,1.0,0.0
310,572,,234,,
311,,,234,1.0,0.0
312,573,,310,,
313,,,310,1.0,0.0
314,1310,,88,,
315,,,88,0.833333333333,0.166666666667
316,1307,,260,,
317,,,260,1.0,0.0
318,1300,,292,,
319,,,292,0.875,0.125
320,,,314,1.0,0.0
321,,,314,0.75,0.25
322,,,71,1.0,0.0
323,,,71,0.333333333333,0.666666666667
324,,,164,1.0,0.0
325,,,164,0.5,0.5
326,1304,,296,,
327,,,296,1.0,0.0
328,1308,,316,,
329,,,316,1.0,0.0
330,741,,274,,
331,,,274,1.0,0.0
332,820,,330,,
333,,,330,1.0,0.0
334,1392,,177,,
335,,,177,0.333333333333,0.666666666667
336,,,254,0.996438112199,0.00356188780053
337,,,254,0.933333333333,0.0666666666667
338,,,114,1.0,0.0
339,,,114,0.75,0.25
340,,,167,0.5,0.5
341,2837,,167,,
342,831,,276,,
343,,,276,0.5,0.5
344,,,187,1.0,0.0
345,19,,187,,
346,1313,,183,,
347,,,183,0.4,0.6
348,,,282,0.75,0.25
349,1945,,282,,
350,21,,52,,
351,,,52,0.5,0.5
352,,,75,0.75,0.25
353,,,75,1.0,0.0
354,738,,278,,
355,,,278,1.0,0.0
356,815,,209,,
357,,,209,0.5,0.5
358,816,,356,,
359,,,356,0.0,1.0
360,,,231,0.8,0.2
361,,,231,1.0,0.0
362,1301,,134,,
363,,,134,1.0,0.0
364,,,301,1.0,0.0
365,999,,301,,
366,,,128,1.0,0.0
367,,,128,0.333333333333,0.666666666667
368,,,129,1.0,0.0
369,,,129,0.5,0.5
370,1308,,350,,
371,,,350,1.0,0.0
372,,,133,1.0,0.0
373,,,133,0.5,0.5
374,1302,,362,,
375,,,362,1.0,0.0
376,991,,342,,
377,1302,,342,,
378,,,377,0.6,0.4
379,,,377,1.0,0.0
380,812,,354,,
381,,,354,1.0,0.0
382,813,,380,,
383,,,380,1.0,0.0
384,815,,382,,
